ID,Species,Soil Type,Salt Addition,Greenhouse Group,Diameter Growth (%),Stem Mass Growth (%),Coarse Root Growth (%),Total Biomass Growth (%),Pre-Existing Biomass Growth (%),New Above Ground Biomass (g),Fine Root Mass (g),New Above/Below Ground Biomass Ratio,Week 6 SPAD,Initial Diameter (mm),Final Diameter (mm),Initial Stem Displacement (g),Final Stem Displacement (g),Initial Coarse Root Displacement (g),Final Coarse Root Weight (g),Initial Pre-Existing Biomass (g),Final Pre-Existing Biomass (g),Final Total Biomass (g),End SPAD ,Week 1 Leachate NaCl (mg),Week 2 Leachate NaCl (mg),Week 3 Leachate NaCl (mg),Week 4 Leachate NaCl (mg),Week 5 Leachate NaCl (mg),Week 6 Leachate NaCl (mg),Week 7 Leachate NaCl (mg),Week 8 Leachate NaCl (mg),Fraction of LICOR covered by Leaf 
1,CAT,Control,Y,5,35.19163763,80.85106383,103.7037037,174.8910891,98.01980198,3.94,1.4948,2.635804121,25.6,5.74,7.76,4.7,8.5,2.7,5.5,7.07,14,19.4348,16.9,59.43,6.182,3.0144,2.295,2.4585,1.8228,0.70575,0.2885,1
2,CAT,Control,Y,2,38.45541401,25,94.44444444,274.0375671,105.7245081,6.82,2.5887,2.634526983,23,6.28,8.695,3.6,4.5,3.6,7,5.59,11.5,20.9087,21,34.038,22.5975,3.00135,2.0475,3.2591,1.837,1.608,0.4193,1
3,CAT,Control,Y,3,12.11708645,8.974358974,20.48192771,135.9414935,42.41724403,9.2,2.9488,3.119913185,23,7.345,8.235,7.8,8.5,8.3,10,12.99,18.5,30.6488,18.6,70.389,13.035,1.2572,2.1788,1.0635,0.9044,0,0,1
4,CAT,Control,Y,1,56.75446049,55.17241379,120,395.2421053,110.5263158,9.65,3.874,2.49096541,21.6,5.885,9.225,2.9,4.5,2.5,5.5,4.75,10,23.524,19.1,51.2195,21.14,2.271,2.438,2.319,1.7445,1.0251,0.4994,1
5,CAT,Control,N,2,61.20218579,-28.57142857,282.3529412,163.879822,55.78635015,5.64,1.6455,3.427529626,24.8,3.66,5.9,5.6,4,1.7,6.5,6.74,10.5,17.7855,16,16.665,17.704,2.64495,2.1942,1.97175,8.343,0.4018,0.2968,1
6,CAT,Control,N,1,-12.99734748,194.1176471,130.7692308,371.2732673,117.8217822,9.62,3.1793,3.025823294,23.7,3.77,3.28,1.7,5,2.6,6,5.05,11,23.7993,21.1,42.525,22.854,2.37705,2.5662,2.34485,1.82875,1.7803,0.2762,1
7,CAT,Control,N,3,36,100,6.382978723,128.8631319,72.62638718,2.51,2.0508,1.223912619,17.3,6,8.16,4.5,9,4.7,5,8.11,14,18.5608,16.1,46.944,17.204,2.50585,2.0438,1.145,0.9579,0.12335,0.1456,1
8,CAT,Control,Y,6,24.18207681,69.11764706,-78.57142857,110.7193784,18.82998172,7.52,2.5327,2.969163343,21.3,7.03,8.73,6.8,11.5,7,1.5,10.94,13,23.0527,17.8,27.563,2.4815,,1.48,0.4506,0.5388,0.80145,0,1
9,CAT,Control,Y,7,31.107739,75,42.85714286,179.9085714,87.75510204,8.58,2.7088,3.167454223,20.5,6.59,8.64,8,14,6.3,9,12.25,23,34.2888,14.9,73.549,23.53,3.36375,2.0215,0.4905,0.31295,0,0,1
10,CAT,BCMI,Y,3,72.86713287,182.6086957,142.4242424,243.2234432,165.5677656,4.24,,,23.3,3.575,6.18,2.3,6.5,3.3,8,5.46,14.5,18.74,14.6,48.236,30.4965,5.663,8.1108,3.59635,2.0856,1.4331,0.5583,1
